Escalonador,Metodo,Workers,Total_Reqs,Total_Seek,Tempo_Medio_ns,Tempo_Maximo_ns
scan,Random,1,100,74567712,629742,2447971
scan,Random,2,200,138135352,585500,1747282
scan,Random,3,300,229807632,591850,1931803
scan,Random,4,400,277029816,585097,1897623
scan,Random,5,500,356609944,598534,2124179
scan,Random,6,598,258652752,6037490,39193258
scan,Random,7,581,402167192,627145,3474805
scan,Random,8,681,202139472,10851575,48241307
scan,Random,9,711,140412360,21054894,73952303
scan,Random,10,711,137477856,17427899,64101260
scan,Random,11,709,127657624,23746795,513112793
scan,Random,12,640,291996920,8724749,71907164
scan,Random,13,722,97784120,24293536,104684643
scan,Random,14,725,89887032,26968346,98948860
scan,Random,15,725,91431480,29606500,105028666
scan,Random,16,724,79500704,437212834,3053573179
scan,Random,17,727,84391528,33525394,106302803
scan,Random,18,731,70468024,36025333,117497016
scan,Random,19,730,73228392,36910827,120811424
scan,Random,20,731,70568192,58966606,732818489
scan,Random,21,732,67283008,42156015,150363685
scan,Random,22,728,75854944,43950403,154390628
scan,Random,23,735,59416744,48072191,159494408
scan,Random,24,731,65312056,49797165,166869004
scan,Random,25,735,62065056,50236388,178567063
scan,Random,26,734,64420936,52625349,204361416
scan,Random,27,738,54442872,54836334,190159801
scan,Random,28,739,51663896,115583371,2273943141
scan,Random,29,738,53489664,61444280,211822170
scan,Random,30,738,53688960,64898324,240553862
scan,Random,31,736,55997808,445578159,10915207974
scan,Random,32,738,53682320,63975165,219521230
scan,Random,33,740,54035736,56886489,209771574
scan,Random,34,742,44210376,67010221,229974340
scan,Random,35,742,44824592,247748095,4028178016
scan,Random,36,740,50726040,69951287,253102499
scan,Random,37,742,45685776,77776615,269234710
scan,Random,38,742,46990440,92203736,350234835
scan,Random,39,744,44742392,62950113,222831174
scan,Random,40,741,48911088,88276401,321108487
scan,Sequential,1,2,16,28495,50565
scan,Sequential,2,2,16,33663,62578
scan,Sequential,3,2,16,37714,70400
scan,Sequential,4,2,16,29752,55873
scan,Sequential,5,2,16,54336,102527
scan,Sequential,6,2,16,29333,52800
scan,Sequential,7,2,16,53359,99454
scan,Sequential,8,2,16,51403,96940
scan,Sequential,9,2,16,56711,106997
scan,Sequential,10,2,16,174323,343060
scan,Sequential,11,2,16,28635,52241
scan,Sequential,12,2,16,38552,67886
scan,Sequential,13,2,16,37714,71238
scan,Sequential,14,2,16,43859,83250
scan,Sequential,15,2,16,69701,133257
scan,Sequential,16,2,16,67466,130184
scan,Sequential,17,2,16,38971,74311
scan,Sequential,18,2,16,43301,82133
scan,Sequential,19,2,16,38692,70959
scan,Sequential,20,2,16,41066,77384
scan,Sequential,21,2,16,73892,138565
scan,Sequential,22,2,16,44559,82972
scan,Sequential,23,2,16,47911,84927
scan,Sequential,24,2,16,36177,66768
scan,Sequential,25,2,16,49727,92750
scan,Sequential,26,2,16,44419,84648
scan,Sequential,27,2,16,27936,47492
scan,Sequential,28,2,16,40508,74591
scan,Sequential,29,2,16,48330,91631
scan,Sequential,30,2,16,63694,119288
scan,Sequential,31,2,16,37435,70400
scan,Sequential,32,2,16,28216,52521
scan,Sequential,33,2,16,42464,79061
scan,Sequential,34,2,16,38273,72635
scan,Sequential,35,2,16,34781,59226
scan,Sequential,36,2,16,30590,57549
scan,Sequential,37,2,16,50286,96381
scan,Sequential,38,2,16,50286,96102
scan,Sequential,39,2,16,26679,49168
scan,Sequential,40,2,16,56292,108114
