Escalonador,Metodo,Workers,Total_Reqs,Total_Seek,Tempo_Medio_ns,Tempo_Maximo_ns
sstf,Random,1,100,66322304,6977,113676
sstf,Random,2,200,145652112,6316,26769
sstf,Random,3,300,213004032,1994131,15135306
sstf,Random,4,400,276372264,603410,28970066
sstf,Random,5,500,236570504,2667176,36030701
sstf,Random,6,600,222048008,4376347,32033599
sstf,Random,7,698,334973608,4161807,46867111
sstf,Random,8,800,201982864,8176399,50999017
sstf,Random,9,900,313416784,7823555,51972554
sstf,Random,10,998,284138832,10497907,72707342
sstf,Random,11,1097,209689472,12842500,75294329
sstf,Random,12,1196,201526672,25060900,686649597
sstf,Random,13,1296,263107728,15762732,88623676
sstf,Random,14,1297,166884912,20006858,104469285
sstf,Random,15,1297,162671656,21983519,105831089
sstf,Random,16,1296,139848648,36193044,921518571
sstf,Random,17,1298,143092832,25450104,130749690
sstf,Random,18,1297,139111224,25032908,101786097
sstf,Random,19,1297,123383656,27738595,188763585
sstf,Random,20,1297,133000592,29301583,149373806
sstf,Random,21,1297,118057424,30876639,194652790
sstf,Random,22,1298,103369744,32797858,132101548
sstf,Random,23,1296,102992344,41851924,212985030
sstf,Random,24,1297,102184144,36575999,156336094
sstf,Random,25,1297,101619752,37173440,225158743
sstf,Random,26,1297,102783376,43733756,177804400
sstf,Random,27,1298,86980840,38641886,179405343
sstf,Random,28,1297,96381512,39775070,165147275
sstf,Random,29,1298,84197904,43979850,206969757
sstf,Random,30,1297,97492448,47119473,236755054
sstf,Random,31,1298,77190520,44618948,182550224
sstf,Random,32,1297,86412696,46800104,197380183
sstf,Random,33,1297,79181360,50971537,259942229
sstf,Random,34,1293,83000992,110164407,2215457933
sstf,Random,35,1296,75011504,53807014,185538723
sstf,Random,36,1296,70270152,55260552,250849412
sstf,Random,37,1288,74344216,547255639,10074401438
sstf,Random,38,1296,77707096,58434189,295363213
sstf,Random,39,1292,69669384,583424833,15133879594
sstf,Random,40,1297,74071216,61678291,233254649
sstf,Sequential,1,2,816312,0,0
sstf,Sequential,2,2,16,37155,64533
sstf,Sequential,3,2,16,37994,71518
sstf,Sequential,4,2,16,38971,72355
sstf,Sequential,5,2,16,40507,74869
sstf,Sequential,6,2,16,38552,72076
sstf,Sequential,7,2,16,58387,111187
sstf,Sequential,8,2,16,38553,72356
sstf,Sequential,9,2,16,36737,69283
sstf,Sequential,10,2,16,39111,71797
sstf,Sequential,11,2,16,37575,66210
sstf,Sequential,12,2,16,45257,77943
sstf,Sequential,13,2,16,39949,72356
sstf,Sequential,14,2,16,76546,149181
sstf,Sequential,15,2,16,42044,79340
sstf,Sequential,16,2,16,26679,48609
sstf,Sequential,17,2,16,26959,47772
sstf,Sequential,18,2,16,69701,134933
sstf,Sequential,19,2,16,37994,72915
sstf,Sequential,20,2,16,40926,77663
sstf,Sequential,21,2,16,45676,86324
sstf,Sequential,22,2,16,42743,82134
sstf,Sequential,23,2,16,52939,97219
sstf,Sequential,24,2,16,33104,62857
sstf,Sequential,25,2,16,31987,60623
sstf,Sequential,26,2,16,40088,75149
sstf,Sequential,27,2,16,37156,70121
sstf,Sequential,28,2,16,36736,69003
sstf,Sequential,29,2,16,40368,76267
sstf,Sequential,30,2,16,39111,74311
sstf,Sequential,31,2,16,35759,55594
sstf,Sequential,32,2,16,31009,58387
sstf,Sequential,33,2,16,44838,86324
sstf,Sequential,34,2,16,59225,112863
sstf,Sequential,35,2,16,34780,63136
sstf,Sequential,36,2,16,32406,60902
sstf,Sequential,37,2,16,63276,111187
sstf,Sequential,38,2,16,43441,79619
sstf,Sequential,39,2,16,54057,103924
sstf,Sequential,40,2,16,33803,62019
